,proportion_train_config,source_selection_method,prop_inputs_source,id repetition,mape,training_time
0,0.1,random,0.1,0,2.147910833515884,0.02720928192138672
1,0.1,random,0.1,1,9.538718734868931,0.014889240264892578
2,0.1,random,0.1,2,37.098987477755294,0.01479482650756836
3,0.1,random,0.1,3,5.815129541487939,0.0135498046875
4,0.1,random,0.1,4,107.46887981927837,0.014748096466064453
5,0.1,random,0.1,5,15.605084355655793,0.01023554801940918
6,0.1,random,0.1,6,9.13895882136834,0.01450037956237793
7,0.1,random,0.1,7,2.3888370256673763,0.013460636138916016
8,0.1,random,0.1,8,7.407535065141689,0.013170719146728516
9,0.1,random,0.1,9,3.0530149942212597,0.014710426330566406
10,0.1,same_input_grp,0.1,0,4.259548835281094,0.013361930847167969
11,0.1,same_input_grp,0.1,1,0.525779130497312,0.014578580856323242
12,0.1,same_input_grp,0.1,2,7.910790403024219,0.014638185501098633
13,0.1,same_input_grp,0.1,3,0.9192286651087702,0.013428926467895508
14,0.1,same_input_grp,0.1,4,5.008258625608542,0.014559030532836914
15,0.1,same_input_grp,0.1,5,3.0180520513981053,0.012149810791015625
16,0.1,same_input_grp,0.1,6,1.9212815701863426,0.014408111572265625
17,0.1,same_input_grp,0.1,7,11.562310624032857,0.014206886291503906
18,0.1,same_input_grp,0.1,8,2.973840716280485,0.014530658721923828
19,0.1,same_input_grp,0.1,9,2.255425699199137,0.014810562133789062
20,0.1,closest_properties,0.1,0,6.989087792844304,0.07496309280395508
21,0.1,closest_properties,0.1,1,0.08523066285396227,0.06816530227661133
22,0.1,closest_properties,0.1,2,0.97740779652274,0.07142281532287598
23,0.1,closest_properties,0.1,3,5.610850064882081,0.07231831550598145
24,0.1,closest_properties,0.1,4,1.381300625522912,0.07239270210266113
25,0.1,closest_properties,0.1,5,8.517289214539767,0.06641316413879395
26,0.1,closest_properties,0.1,6,2.5850802430763715,0.07016634941101074
27,0.1,closest_properties,0.1,7,76.72646705216866,0.0715787410736084
28,0.1,closest_properties,0.1,8,6.029055986080259,0.072845458984375
29,0.1,closest_properties,0.1,9,5.108452185182045,0.06553840637207031
30,0.1,max_perf_corr,0.1,0,46.604809923139186,0.10429191589355469
