,proportion_train_config,source_selection_method,prop_inputs_source,id repetition,mape,training_time
0,0.1,random,0.1,0,6.768326490350633,0.009093761444091797
1,0.1,random,0.1,1,27.19085675279862,0.00929403305053711
2,0.1,random,0.1,2,7.480808440644907,0.009526729583740234
3,0.1,random,0.1,3,27.17455228145741,0.00964665412902832
4,0.1,random,0.1,4,27.24442047186257,0.009369134902954102
5,0.1,random,0.1,5,7.5250027545241505,0.00974893569946289
6,0.1,random,0.1,6,6.755092668159122,0.009539604187011719
7,0.1,random,0.1,7,8.59457052437003,0.00937962532043457
8,0.1,random,0.1,8,9.046771898215738,0.009325027465820312
9,0.1,random,0.1,9,12.125401082733392,0.009587287902832031
10,0.1,same_input_grp,0.1,0,7.788568919506687,0.009654521942138672
11,0.1,same_input_grp,0.1,1,26.98318872283268,0.009817123413085938
12,0.1,same_input_grp,0.1,2,7.63455731245742,0.009611368179321289
13,0.1,same_input_grp,0.1,3,7.600974423677549,0.025928974151611328
14,0.1,same_input_grp,0.1,4,7.698083008298025,0.01243901252746582
15,0.1,same_input_grp,0.1,5,7.4141067378792185,0.010116338729858398
16,0.1,same_input_grp,0.1,6,27.20331769920476,0.010477304458618164
17,0.1,same_input_grp,0.1,7,7.772698989840839,0.010385990142822266
18,0.1,same_input_grp,0.1,8,8.236151255623767,0.01033163070678711
19,0.1,same_input_grp,0.1,9,27.106608947713536,0.010423898696899414
20,0.1,closest_properties,0.1,0,7.22906996168749,0.016488313674926758
21,0.1,closest_properties,0.1,1,27.139320647303883,0.016788721084594727
22,0.1,closest_properties,0.1,2,8.242334885702364,0.016808509826660156
23,0.1,closest_properties,0.1,3,8.092949021859573,0.021248817443847656
24,0.1,closest_properties,0.1,4,9.159042843624123,0.016935110092163086
25,0.1,closest_properties,0.1,5,7.104322317826625,0.016774654388427734
26,0.1,closest_properties,0.1,6,27.076764936148596,0.016569137573242188
27,0.1,closest_properties,0.1,7,27.118523747914512,0.01779627799987793
28,0.1,closest_properties,0.1,8,8.932146711106274,0.017671585083007812
29,0.1,closest_properties,0.1,9,7.999823086193683,0.017460346221923828
30,0.1,max_perf_corr,0.1,0,8.015784282551516,0.02204728126525879
31,0.1,max_perf_corr,0.1,1,7.367063408961147,0.022063255310058594
32,0.1,max_perf_corr,0.1,2,7.336231716958983,0.021401643753051758
33,0.1,max_perf_corr,0.1,3,7.500037536869181,0.021005868911743164
34,0.1,max_perf_corr,0.1,4,27.05016765724836,0.020306110382080078
35,0.1,max_perf_corr,0.1,5,8.228226819875955,0.020720481872558594
36,0.1,max_perf_corr,0.1,6,7.692105068432078,0.020853519439697266
37,0.1,max_perf_corr,0.1,7,7.393085584274423,0.020785808563232422
38,0.1,max_perf_corr,0.1,8,7.947413672141892,0.020931243896484375
39,0.1,max_perf_corr,0.1,9,6.9552859792800685,0.1441326141357422
40,0.1,random,0.2,0,7.8180484736693465,0.0156097412109375
41,0.1,random,0.2,1,7.911400386087898,0.012878656387329102
42,0.1,random,0.2,2,9.061202270387597,0.011179447174072266
43,0.1,random,0.2,3,8.651973605353962,0.009850740432739258
44,0.1,random,0.2,4,7.925233337477497,0.00920724868774414
45,0.1,random,0.2,5,27.169708880819073,0.009427785873413086
46,0.1,random,0.2,6,16.79551245698884,0.0176849365234375
47,0.1,random,0.2,7,8.238990609284727,0.010458230972290039
48,0.1,random,0.2,8,27.382545374691336,0.00998067855834961
49,0.1,random,0.2,9,7.404835992010636,0.009518861770629883
50,0.1,same_input_grp,0.2,0,27.162440740903026,0.009755134582519531
51,0.1,same_input_grp,0.2,1,12.507233447367827,0.010204315185546875
52,0.1,same_input_grp,0.2,2,6.320606404734653,0.010037422180175781
