,proportion_train_config,source_selection_method,prop_inputs_source,id repetition,mape,training_time
0,0.1,random,0.1,0,5.996663326710334,0.18325328826904297
1,0.1,random,0.1,1,6.065741059027715,0.1686859130859375
2,0.1,random,0.1,2,6.1629409944855915,0.17014050483703613
3,0.1,random,0.1,3,6.109770076396982,0.17954564094543457
4,0.1,random,0.1,4,9.809801380477179,0.1679859161376953
5,0.1,random,0.1,5,5.797984064566964,0.1675562858581543
6,0.1,random,0.1,6,5.948449816667521,0.17004036903381348
7,0.1,random,0.1,7,5.991258302261747,0.16828298568725586
8,0.1,random,0.1,8,5.821548421650907,0.1682281494140625
9,0.1,random,0.1,9,6.115549048882022,0.169325590133667
10,0.1,same_input_grp,0.1,0,6.585700398491895,0.16800189018249512
11,0.1,same_input_grp,0.1,1,6.1728639787206205,0.16786813735961914
12,0.1,same_input_grp,0.1,2,27.027927199885287,0.16880512237548828
13,0.1,same_input_grp,0.1,3,5.651591304869051,0.16805696487426758
14,0.1,same_input_grp,0.1,4,26.986547410527674,0.16823387145996094
15,0.1,same_input_grp,0.1,5,5.982661247151315,0.17039275169372559
16,0.1,same_input_grp,0.1,6,5.8376470375769385,0.16973018646240234
17,0.1,same_input_grp,0.1,7,27.053810501373842,0.16845178604125977
18,0.1,same_input_grp,0.1,8,7.696657952830911,0.17089104652404785
19,0.1,same_input_grp,0.1,9,6.3985740299263325,0.16830825805664062
20,0.1,closest_properties,0.1,0,7.103673850549798,0.17318987846374512
21,0.1,closest_properties,0.1,1,6.732310995631366,0.1740565299987793
22,0.1,closest_properties,0.1,2,26.903630050247195,0.17363667488098145
23,0.1,closest_properties,0.1,3,5.665285923593048,0.17392396926879883
24,0.1,closest_properties,0.1,4,8.327992437376402,0.1734766960144043
25,0.1,closest_properties,0.1,5,26.962551370802984,0.17458677291870117
26,0.1,closest_properties,0.1,6,26.839436894098807,0.17370843887329102
27,0.1,closest_properties,0.1,7,7.287134713681727,0.17507147789001465
28,0.1,closest_properties,0.1,8,6.293566957788095,0.17263460159301758
29,0.1,closest_properties,0.1,9,27.022576193936672,0.17343521118164062
30,0.1,max_perf_corr,0.1,0,5.95606693712628,0.17616868019104004
31,0.1,max_perf_corr,0.1,1,6.490603853113061,0.17592430114746094
32,0.1,max_perf_corr,0.1,2,5.889999305258713,0.17591381072998047
33,0.1,max_perf_corr,0.1,3,6.128265100752078,0.17774391174316406
34,0.1,max_perf_corr,0.1,4,5.793595028611284,0.17700839042663574
35,0.1,max_perf_corr,0.1,5,6.420389556533704,0.1768662929534912
36,0.1,max_perf_corr,0.1,6,6.9583239761066675,0.1766502857208252
37,0.1,max_perf_corr,0.1,7,6.031939883386829,0.1758427619934082
38,0.1,max_perf_corr,0.1,8,6.490974584326245,0.1760566234588623
39,0.1,max_perf_corr,0.1,9,6.040673064927831,0.17605376243591309
40,0.1,random,0.2,0,27.013242618039484,0.16784191131591797
41,0.1,random,0.2,1,6.435842900413055,0.16872382164001465
42,0.1,random,0.2,2,7.918644514669316,0.16780304908752441
43,0.1,random,0.2,3,6.275275458900523,0.1696946620941162
44,0.1,random,0.2,4,27.097193660538675,0.16822123527526855
45,0.1,random,0.2,5,8.336403183780153,0.16829156875610352
46,0.1,random,0.2,6,8.391208345603767,0.16986584663391113
47,0.1,random,0.2,7,6.902034268161144,0.1684436798095703
48,0.1,random,0.2,8,5.9643278960057655,0.168487548828125
49,0.1,random,0.2,9,27.076242253074227,0.16919541358947754
50,0.1,same_input_grp,0.2,0,6.465831972594651,0.17008614540100098
51,0.1,same_input_grp,0.2,1,27.169511000307946,0.16786766052246094
52,0.1,same_input_grp,0.2,2,26.96590749937758,0.16834688186645508
53,0.1,same_input_grp,0.2,3,27.134031961874328,0.16846323013305664
54,0.1,same_input_grp,0.2,4,6.000730705105053,0.16853928565979004
55,0.1,same_input_grp,0.2,5,6.593698419303892,0.1674642562866211
56,0.1,same_input_grp,0.2,6,8.923429939277442,0.1682884693145752
57,0.1,same_input_grp,0.2,7,6.108591499550988,0.16733646392822266
58,0.1,same_input_grp,0.2,8,8.480155865610712,0.16824030876159668
59,0.1,same_input_grp,0.2,9,27.072232537872903,0.16765141487121582
60,0.1,closest_properties,0.2,0,6.181558146754703,0.17783570289611816
61,0.1,closest_properties,0.2,1,27.226988961818794,0.1773207187652588
62,0.1,closest_properties,0.2,2,6.004023576588031,0.17836666107177734
63,0.1,closest_properties,0.2,3,7.63230648398444,0.17781424522399902
64,0.1,closest_properties,0.2,4,6.095269655255919,0.17901349067687988
65,0.1,closest_properties,0.2,5,26.8265291733973,0.1788797378540039
66,0.1,closest_properties,0.2,6,27.124997266742884,0.17832636833190918
67,0.1,closest_properties,0.2,7,27.026108131506582,0.17873430252075195
68,0.1,closest_properties,0.2,8,7.1333054182132285,0.1777360439300537
69,0.1,closest_properties,0.2,9,6.843347297224195,0.17882752418518066
70,0.1,max_perf_corr,0.2,0,5.857588196169998,0.18409228324890137
71,0.1,max_perf_corr,0.2,1,26.893715094802182,0.18354010581970215
72,0.1,max_perf_corr,0.2,2,27.09998518927721,0.18283605575561523
73,0.1,max_perf_corr,0.2,3,6.261581676443114,0.18310999870300293
74,0.1,max_perf_corr,0.2,4,8.350814533747917,0.18345308303833008
75,0.1,max_perf_corr,0.2,5,26.85651230536532,0.18433213233947754
76,0.1,max_perf_corr,0.2,6,5.117504345470122,0.18370556831359863
77,0.1,max_perf_corr,0.2,7,27.126520852570156,0.1831200122833252
78,0.1,max_perf_corr,0.2,8,5.943778535669273,0.1840345859527588
79,0.1,max_perf_corr,0.2,9,5.254857674787673,0.18405938148498535
80,0.1,random,0.30000000000000004,0,12.76309609147236,0.16820836067199707
81,0.1,random,0.30000000000000004,1,6.4104104863167475,0.16942381858825684
82,0.1,random,0.30000000000000004,2,5.9568639201554525,0.16821599006652832
83,0.1,random,0.30000000000000004,3,5.872725203620565,0.16789484024047852
84,0.1,random,0.30000000000000004,4,27.071614780399244,0.16856789588928223
85,0.1,random,0.30000000000000004,5,5.974782472912901,0.16836309432983398
86,0.1,random,0.30000000000000004,6,27.026758641921116,0.16884708404541016
87,0.1,random,0.30000000000000004,7,27.024698887226673,0.1683955192565918
88,0.1,random,0.30000000000000004,8,5.749105795511813,0.1688859462738037
89,0.1,random,0.30000000000000004,9,6.777284584404483,0.16813135147094727
90,0.1,same_input_grp,0.30000000000000004,0,26.867921660744564,0.16831350326538086
91,0.1,same_input_grp,0.30000000000000004,1,27.184156808372133,0.1684277057647705
92,0.1,same_input_grp,0.30000000000000004,2,5.880902345366156,0.1685621738433838
93,0.1,same_input_grp,0.30000000000000004,3,5.738609761652794,0.16825175285339355
94,0.1,same_input_grp,0.30000000000000004,4,9.36865346866159,0.1684722900390625
95,0.1,same_input_grp,0.30000000000000004,5,6.6059541383263305,0.16821575164794922
96,0.1,same_input_grp,0.30000000000000004,6,5.492621280419067,0.1697711944580078
97,0.1,same_input_grp,0.30000000000000004,7,6.211277302433623,0.167893648147583
