,proportion_train_config,prop_inputs_source,id repetition,mape,training_time
0,0.1,0.1,0,6.647209285013543,0.09394240379333496
1,0.1,0.1,1,6.839864524043268,0.09166908264160156
2,0.1,0.1,2,7.14087696666781,0.09121203422546387
3,0.1,0.1,3,168.02474838097964,0.09218525886535645
4,0.1,0.1,4,6.371643565877279,0.09157586097717285
5,0.1,0.1,5,6.764314128424082,0.09013795852661133
6,0.1,0.1,6,7.380884897947411,0.09755635261535645
7,0.1,0.1,7,127.58019281321597,0.09360623359680176
8,0.1,0.1,8,6.5763883563944106,0.0957489013671875
9,0.1,0.1,9,326.32210490157075,0.09686756134033203
10,0.1,0.2,0,133.9734289078124,0.09883666038513184
11,0.1,0.2,1,19.054754051339586,0.09961724281311035
12,0.1,0.2,2,10.580714732471613,0.09717488288879395
13,0.1,0.2,3,9.024387566588874,0.09847855567932129
14,0.1,0.2,4,159.86336961671591,0.09816718101501465
15,0.1,0.2,5,7.273356271088079,0.09743118286132812
16,0.1,0.2,6,6.780138912997592,0.1219170093536377
17,0.1,0.2,7,7.585363754519323,0.10671448707580566
18,0.1,0.2,8,6.772214671213954,0.10273051261901855
19,0.1,0.2,9,6.668549829120895,0.0984201431274414
20,0.1,0.30000000000000004,0,6.7475741487295915,0.10196900367736816
21,0.1,0.30000000000000004,1,13.420289447973651,0.0996558666229248
22,0.1,0.30000000000000004,2,7.536509857798871,0.09847760200500488
23,0.1,0.30000000000000004,3,7.20172299100774,0.09914922714233398
24,0.1,0.30000000000000004,4,7.050384064737407,0.11024355888366699
25,0.1,0.30000000000000004,5,196.7493354611377,0.11132526397705078
26,0.1,0.30000000000000004,6,6.753123146175842,0.10752367973327637
27,0.1,0.30000000000000004,7,8.394721094934255,0.10250592231750488
28,0.1,0.30000000000000004,8,9.02771871988661,0.10059762001037598
29,0.1,0.30000000000000004,9,554.8390068587478,0.09960675239562988
30,0.1,0.4,0,177.43101598372692,0.10364031791687012
31,0.1,0.4,1,6.466136530865377,0.10202670097351074
32,0.1,0.4,2,6.933460511715436,0.10323524475097656
33,0.1,0.4,3,238.45125173480685,0.10264277458190918
34,0.1,0.4,4,6.431316443094652,0.10817384719848633
35,0.1,0.4,5,6.982101368303144,0.11297273635864258
36,0.1,0.4,6,6.871219520923636,0.10865545272827148
37,0.1,0.4,7,332.8415580072751,0.10517144203186035
38,0.1,0.4,8,6.823750608803358,0.10670185089111328
39,0.1,0.4,9,7.071162226268362,0.11344122886657715
40,0.1,0.5,0,13.121551284967214,0.11311650276184082
41,0.1,0.5,1,399.3503238476878,0.10845613479614258
42,0.1,0.5,2,7.4968656489608945,0.10919332504272461
43,0.1,0.5,3,8.725877864656425,0.1109316349029541
44,0.1,0.5,4,10.477202573465604,0.11009979248046875
45,0.1,0.5,5,7.836499605815668,0.11158132553100586
46,0.1,0.5,6,189.26476617434892,0.10750532150268555
47,0.1,0.5,7,8.362488397328754,0.10715961456298828
48,0.1,0.5,8,7.271327241170757,0.1075289249420166
49,0.1,0.5,9,144.0779212865553,0.1068565845489502
