,proportion_train_config,prop_inputs_source,id repetition,mape,training_time
0,0.1,0.1,0,13.461260853700619,0.32889842987060547
1,0.1,0.1,1,54.3662203138998,0.15327143669128418
2,0.1,0.1,2,18.76668493773986,0.1566774845123291
3,0.1,0.1,3,18.201907481883257,0.15820550918579102
4,0.1,0.1,4,31.04997990723065,0.16186165809631348
5,0.1,0.1,5,17.056484868679174,0.15731239318847656
6,0.1,0.1,6,18.513355789061666,0.1551225185394287
7,0.1,0.1,7,64.97014326702238,0.15841388702392578
8,0.1,0.1,8,27.451171518382615,0.1586775779724121
9,0.1,0.1,9,22.439216813362385,0.1585085391998291
10,0.1,0.2,0,21.148986922071085,0.2154097557067871
11,0.1,0.2,1,19.504755445567632,0.2122199535369873
12,0.1,0.2,2,33.383922798202775,0.22002720832824707
13,0.1,0.2,3,53.6287669165617,0.21150827407836914
14,0.1,0.2,4,21.638527519663818,0.23920583724975586
15,0.1,0.2,5,13.130652302733262,0.23125791549682617
16,0.1,0.2,6,38.06231144025216,0.2232804298400879
17,0.1,0.2,7,31.51870744915905,0.2108135223388672
18,0.1,0.2,8,46.538615521042125,0.21048188209533691
19,0.1,0.2,9,24.561950813332743,0.21650004386901855
20,0.1,0.30000000000000004,0,30.6433252408507,0.26322317123413086
21,0.1,0.30000000000000004,1,28.74692117799346,0.26822400093078613
22,0.1,0.30000000000000004,2,41.575503435668494,0.27039432525634766
23,0.1,0.30000000000000004,3,18.983988774008807,0.27158093452453613
24,0.1,0.30000000000000004,4,23.054165306869066,0.26862549781799316
25,0.1,0.30000000000000004,5,11.399678735860999,0.25976109504699707
26,0.1,0.30000000000000004,6,17.942082932728866,0.2657642364501953
27,0.1,0.30000000000000004,7,20.542654408757734,0.26638293266296387
28,0.1,0.30000000000000004,8,19.186229842167013,0.26513195037841797
29,0.1,0.30000000000000004,9,27.183979211801024,0.2708439826965332
30,0.1,0.4,0,48.6549633400918,0.34862470626831055
31,0.1,0.4,1,47.60149197800672,0.34636902809143066
32,0.1,0.4,2,21.509015790560905,0.34744977951049805
33,0.1,0.4,3,30.46109497252869,0.338726282119751
34,0.1,0.4,4,31.654347893072003,0.3327033519744873
35,0.1,0.4,5,23.19748037428693,0.32691049575805664
36,0.1,0.4,6,27.047605586734424,0.3241558074951172
37,0.1,0.4,7,25.663976950968536,0.33425188064575195
38,0.1,0.4,8,43.86163384727954,0.32825398445129395
39,0.1,0.4,9,11.247131746876972,0.3147094249725342
40,0.1,0.5,0,15.603312839006666,0.38683605194091797
41,0.1,0.5,1,47.90593437637302,0.3901987075805664
42,0.1,0.5,2,13.407660006898803,0.3949432373046875
43,0.1,0.5,3,31.48582308352228,0.4194982051849365
44,0.1,0.5,4,27.932808402024158,0.40380287170410156
45,0.1,0.5,5,22.246315707694432,0.3979010581970215
46,0.1,0.5,6,22.65404956927579,0.38681626319885254
47,0.1,0.5,7,18.5788420589901,0.4029994010925293
48,0.1,0.5,8,27.737231761165855,0.4130089282989502
49,0.1,0.5,9,21.919947016579552,0.39969778060913086
50,0.1,0.6000000000000001,0,42.054095119297926,0.4609403610229492
51,0.1,0.6000000000000001,1,17.07145785347275,0.44487833976745605
52,0.1,0.6000000000000001,2,14.66121167748738,0.45782017707824707
53,0.1,0.6000000000000001,3,24.302832808692077,0.44574451446533203
54,0.1,0.6000000000000001,4,30.156574078848298,0.44591426849365234
55,0.1,0.6000000000000001,5,14.758495281832074,0.4449598789215088
56,0.1,0.6000000000000001,6,47.03059228495926,0.44278669357299805
57,0.1,0.6000000000000001,7,28.247629463002127,0.4581470489501953
58,0.1,0.6000000000000001,8,19.17348444844864,0.4675133228302002
59,0.1,0.6000000000000001,9,24.023178619094598,0.475020170211792
60,0.1,0.7000000000000001,0,18.60236960889339,0.5156364440917969
61,0.1,0.7000000000000001,1,71.60509060836736,0.5186383724212646
62,0.1,0.7000000000000001,2,45.45473175095779,0.5322725772857666
63,0.1,0.7000000000000001,3,19.124613472322885,0.5099639892578125
64,0.1,0.7000000000000001,4,22.01049605119002,0.5150268077850342
65,0.1,0.7000000000000001,5,36.06858129396808,0.5288186073303223
66,0.1,0.7000000000000001,6,26.716024206607376,0.5293371677398682
67,0.1,0.7000000000000001,7,30.22491895287245,0.5473484992980957
68,0.1,0.7000000000000001,8,31.36269516476915,0.5469210147857666
69,0.1,0.7000000000000001,9,29.49042713033809,0.5191609859466553
70,0.1,0.8,0,42.091543446043694,0.5945155620574951
71,0.1,0.8,1,38.4613321627668,0.6003367900848389
72,0.1,0.8,2,31.59573441899174,0.6144886016845703
73,0.1,0.8,3,30.5850328462624,0.6162712574005127
74,0.1,0.8,4,23.676438445195412,0.650585412979126
75,0.1,0.8,5,23.2365583733148,0.5919625759124756
76,0.1,0.8,6,36.40268842233985,0.541332483291626
77,0.1,0.8,7,31.298084327700543,0.5486855506896973
78,0.1,0.8,8,46.51478935840137,0.5312366485595703
79,0.1,0.8,9,18.454648383016277,0.5515482425689697
80,0.1,0.9,0,27.15946456267381,0.6176004409790039
81,0.1,0.9,1,37.08000927570631,0.6027381420135498
82,0.1,0.9,2,35.51361949385722,0.6302728652954102
83,0.1,0.9,3,20.761705567414214,0.6082427501678467
84,0.1,0.9,4,31.134172801408365,0.6355626583099365
85,0.1,0.9,5,46.80942359720731,0.6659035682678223
86,0.1,0.9,6,41.40371176748118,0.6151015758514404
87,0.1,0.9,7,28.240011458855097,0.6273584365844727
88,0.1,0.9,8,34.55040048868408,0.6269710063934326
89,0.1,0.9,9,50.94461622389916,0.6238515377044678
90,0.2,0.1,0,24.844158345372474,0.1922168731689453
91,0.2,0.1,1,29.304717183534944,0.19086098670959473
92,0.2,0.1,2,27.42980737394367,0.19481229782104492
93,0.2,0.1,3,22.733691666970067,0.18854403495788574
94,0.2,0.1,4,26.381339621643683,0.18595051765441895
95,0.2,0.1,5,26.532920395217296,0.18660712242126465
96,0.2,0.1,6,59.00896561271974,0.18536806106567383
97,0.2,0.1,7,31.23960658491054,0.19062566757202148
98,0.2,0.1,8,13.842528601683002,0.1799452304840088
99,0.2,0.1,9,22.017232164300673,0.19621586799621582
100,0.2,0.2,0,22.4668662383864,0.26561713218688965
101,0.2,0.2,1,40.31336232533041,0.2940864562988281
102,0.2,0.2,2,42.277883362141026,0.28473615646362305
103,0.2,0.2,3,43.08615956010382,0.2706937789916992
104,0.2,0.2,4,25.683103789479844,0.28424787521362305
105,0.2,0.2,5,16.333868949192045,0.2754964828491211
106,0.2,0.2,6,40.958114803868604,0.278872013092041
107,0.2,0.2,7,39.85184816215897,0.2779092788696289
108,0.2,0.2,8,46.84743507433621,0.28001880645751953
109,0.2,0.2,9,19.921542838546706,0.2837519645690918
110,0.2,0.30000000000000004,0,35.09046907676071,0.37693166732788086
111,0.2,0.30000000000000004,1,18.876042224528057,0.380063533782959
112,0.2,0.30000000000000004,2,26.95943405199343,0.36516404151916504
113,0.2,0.30000000000000004,3,33.77512508492229,0.3832230567932129
114,0.2,0.30000000000000004,4,51.30716569669866,0.37727856636047363
115,0.2,0.30000000000000004,5,26.532853093091003,0.36036157608032227
116,0.2,0.30000000000000004,6,56.58244379256914,0.36976194381713867
117,0.2,0.30000000000000004,7,33.59938299977957,0.35234904289245605
118,0.2,0.30000000000000004,8,22.518663738061576,0.360823392868042
119,0.2,0.30000000000000004,9,32.82993489794405,0.36191272735595703
120,0.2,0.4,0,21.063815861216877,0.45949602127075195
121,0.2,0.4,1,63.926997744895445,0.444547176361084
122,0.2,0.4,2,34.08879474239062,0.44377589225769043
123,0.2,0.4,3,23.368277330397706,0.4762754440307617
124,0.2,0.4,4,23.12028775294391,0.46831727027893066
125,0.2,0.4,5,47.22949026133914,0.4635641574859619
126,0.2,0.4,6,20.15005526980281,0.48314690589904785
127,0.2,0.4,7,16.42441472755656,0.4917104244232178
128,0.2,0.4,8,50.35760502986941,0.5016598701477051
129,0.2,0.4,9,61.719696563203684,0.4945945739746094
130,0.2,0.5,0,31.68994566146248,0.6015594005584717
131,0.2,0.5,1,27.022690302489753,0.6092991828918457
132,0.2,0.5,2,105.66486606527673,0.659531831741333
133,0.2,0.5,3,20.962759828633885,0.6251547336578369
134,0.2,0.5,4,43.15221064443149,0.6479694843292236
135,0.2,0.5,5,33.04179717847613,0.5967330932617188
136,0.2,0.5,6,19.28754243118697,0.6153488159179688
137,0.2,0.5,7,39.020409700315746,0.6317143440246582
138,0.2,0.5,8,19.176326974291218,0.6380863189697266
139,0.2,0.5,9,18.297760779329654,0.6285490989685059
140,0.2,0.6000000000000001,0,18.053453979443333,0.7291297912597656
141,0.2,0.6000000000000001,1,23.643450991941243,0.7263882160186768
142,0.2,0.6000000000000001,2,40.65965205557367,0.7291839122772217
143,0.2,0.6000000000000001,3,20.80007193371218,0.7307465076446533
144,0.2,0.6000000000000001,4,30.30420032767054,0.7085843086242676
145,0.2,0.6000000000000001,5,24.059752491080918,0.764082670211792
146,0.2,0.6000000000000001,6,22.44546047377883,0.6777117252349854
147,0.2,0.6000000000000001,7,20.945057594077614,0.6988177299499512
148,0.2,0.6000000000000001,8,20.138755776951623,0.691472053527832
149,0.2,0.6000000000000001,9,43.563102364268275,0.6987004280090332
150,0.2,0.7000000000000001,0,22.62441169908423,0.7594890594482422
151,0.2,0.7000000000000001,1,30.221881840991326,0.7517147064208984
152,0.2,0.7000000000000001,2,27.83753955942345,0.7677633762359619
153,0.2,0.7000000000000001,3,47.048139500905215,0.7773191928863525
154,0.2,0.7000000000000001,4,34.57098178153777,0.7398381233215332
155,0.2,0.7000000000000001,5,19.444049392859434,0.7267351150512695
156,0.2,0.7000000000000001,6,47.40510482939445,0.7254624366760254
157,0.2,0.7000000000000001,7,24.74769299831285,0.7119994163513184
158,0.2,0.7000000000000001,8,25.16135436637366,0.7120423316955566
159,0.2,0.7000000000000001,9,42.12914808197938,0.7541282176971436
160,0.2,0.8,0,35.994375976160114,0.7948296070098877
161,0.2,0.8,1,81.27356545961891,0.8299617767333984
162,0.2,0.8,2,25.655378951207453,0.8028707504272461
163,0.2,0.8,3,76.95351837014287,0.8588440418243408
164,0.2,0.8,4,45.57965407668904,0.776637077331543
165,0.2,0.8,5,32.45931200772266,0.7978646755218506
166,0.2,0.8,6,35.93605022104408,0.9001128673553467
167,0.2,0.8,7,22.203003454031812,0.8690428733825684
168,0.2,0.8,8,43.55870471534349,0.8586068153381348
169,0.2,0.8,9,28.30199261911479,0.847320556640625
170,0.2,0.9,0,27.155932302236664,0.9546396732330322
171,0.2,0.9,1,30.319861267399144,0.9183390140533447
172,0.2,0.9,2,41.35599900911341,0.9098751544952393
173,0.2,0.9,3,30.846419679359023,0.9813046455383301
174,0.2,0.9,4,40.299303455869534,1.0244483947753906
175,0.2,0.9,5,44.034821246854946,0.9057602882385254
176,0.2,0.9,6,35.18642831418789,0.8763012886047363
177,0.2,0.9,7,26.265964670015794,1.0003905296325684
178,0.2,0.9,8,51.53948225123861,0.9701192378997803
179,0.2,0.9,9,13.011827494165317,0.944230318069458
180,0.30000000000000004,0.1,0,18.58613803144235,0.23920965194702148
181,0.30000000000000004,0.1,1,42.61501112614196,0.23208284378051758
182,0.30000000000000004,0.1,2,44.30651938786335,0.22926735877990723
183,0.30000000000000004,0.1,3,21.625888700007362,0.22236204147338867
184,0.30000000000000004,0.1,4,22.117143962707075,0.23560500144958496
185,0.30000000000000004,0.1,5,21.497689448975784,0.23636126518249512
186,0.30000000000000004,0.1,6,61.71364460032387,0.2519710063934326
187,0.30000000000000004,0.1,7,20.694174900356323,0.23112106323242188
188,0.30000000000000004,0.1,8,45.75284411050784,0.2374887466430664
189,0.30000000000000004,0.1,9,10.33330877589574,0.22622919082641602
190,0.30000000000000004,0.2,0,12.499733518779532,0.3489398956298828
