,proportion_train_config,source_selection_method,prop_inputs_source,id repetition,mape,training_time
0,0.1,random,0.1,0,0.7812135764674595,0.012300968170166016
1,0.1,random,0.1,1,7.407430436774476,0.016628503799438477
2,0.1,random,0.1,2,7.061624391214829,0.014802694320678711
3,0.1,random,0.1,3,0.9778837250784242,0.015605449676513672
4,0.1,random,0.1,4,12.417131584701606,0.014320135116577148
5,0.1,random,0.1,5,8.59262908213114,0.015232086181640625
6,0.1,random,0.1,6,0.790936680798995,0.01610422134399414
7,0.1,random,0.1,7,2.8618465036164387,0.011130571365356445
8,0.1,random,0.1,8,5.427232853878696,0.012253999710083008
9,0.1,random,0.1,9,5.373704690318167,0.015157938003540039
10,0.1,same_input_grp,0.1,0,14.019999841506564,0.014918804168701172
11,0.1,same_input_grp,0.1,1,1.0152343643536526,0.017077207565307617
12,0.1,same_input_grp,0.1,2,9.095247050074967,0.014696836471557617
13,0.1,same_input_grp,0.1,3,7.604989642318351,0.016448020935058594
14,0.1,same_input_grp,0.1,4,1.057414753753423,0.01705002784729004
15,0.1,same_input_grp,0.1,5,4.620690333635866,0.015373706817626953
16,0.1,same_input_grp,0.1,6,2.7014621106248566,0.015622377395629883
17,0.1,same_input_grp,0.1,7,6.4777990650134205,0.011017799377441406
18,0.1,same_input_grp,0.1,8,8.339273490954845,0.012389421463012695
19,0.1,same_input_grp,0.1,9,38.213280332891344,0.01581549644470215
20,0.1,closest_properties,0.1,0,18.064319620676073,0.017110347747802734
21,0.1,closest_properties,0.1,1,6.893126988988672,0.017075538635253906
22,0.1,closest_properties,0.1,2,0.8755877152652454,0.016788244247436523
23,0.1,closest_properties,0.1,3,7.362342266767636,0.0170290470123291
24,0.1,closest_properties,0.1,4,3.3558427933685637,0.018043041229248047
25,0.1,closest_properties,0.1,5,4.497016544267715,0.014475822448730469
26,0.1,closest_properties,0.1,6,1.0715102774431706,0.01778721809387207
27,0.1,closest_properties,0.1,7,11.514469942229864,0.015558958053588867
28,0.1,closest_properties,0.1,8,30.570416202894368,0.016440153121948242
29,0.1,closest_properties,0.1,9,2.7428482247981707,0.01755976676940918
30,0.1,max_perf_corr,0.1,0,12.133266505315,0.01639580726623535
31,0.1,max_perf_corr,0.1,1,5.15626977921559,0.016564607620239258
32,0.1,max_perf_corr,0.1,2,0.9184696923565895,0.017100811004638672
33,0.1,max_perf_corr,0.1,3,7.581931016141957,0.016860485076904297
34,0.1,max_perf_corr,0.1,4,8.778558760246638,0.01664257049560547
35,0.1,max_perf_corr,0.1,5,6.987853045051076,0.016895532608032227
36,0.1,max_perf_corr,0.1,6,5.298718313892023,0.01583266258239746
37,0.1,max_perf_corr,0.1,7,8.060213320486463,0.01650261878967285
38,0.1,max_perf_corr,0.1,8,15.939578668647144,0.0164644718170166
39,0.1,max_perf_corr,0.1,9,12.430756330927423,0.016932010650634766
40,0.1,random,0.2,0,46.051684398523776,0.015899658203125
41,0.1,random,0.2,1,5.001681769640095,0.015912532806396484
42,0.1,random,0.2,2,6.561387829349706,0.01607060432434082
43,0.1,random,0.2,3,15.830058280762834,0.015760183334350586
44,0.1,random,0.2,4,4.995354581905898,0.015245676040649414
45,0.1,random,0.2,5,4.273572972113349,0.017819881439208984
46,0.1,random,0.2,6,5.74924896358132,0.016695737838745117
47,0.1,random,0.2,7,0.9459010892655972,0.015143394470214844
48,0.1,random,0.2,8,7.21696149733815,0.015665292739868164
49,0.1,random,0.2,9,0.8264602580269228,0.01734161376953125
50,0.1,same_input_grp,0.2,0,6.561387829349706,0.01556849479675293
51,0.1,same_input_grp,0.2,1,7.6303585606561,0.015299320220947266
52,0.1,same_input_grp,0.2,2,7.054358356672635,0.017197132110595703
