,soft,perf,nb_inputs,nb_config,mae
50,nodejs,ops,200,0.5,0.4977769805028923
51,nodejs,ops,300,0.5,0.484898778123405
52,nodejs,ops,500,0.5,0.46266400535652763
53,nodejs,ops,1000,0.5,0.4473076520670831
54,nodejs,ops,1500,0.5,0.4403227966610962
55,nodejs,ops,2,0.6,0.7969368108302052
56,nodejs,ops,5,0.6,0.7847583993127185
57,nodejs,ops,10,0.6,0.7471269458167884
58,nodejs,ops,25,0.6,0.6977931564156257
59,nodejs,ops,50,0.6,0.6103772377920003
60,nodejs,ops,100,0.6,0.5501416505904331
61,nodejs,ops,200,0.6,0.4987515994958841
62,nodejs,ops,300,0.6,0.4781088882084958
63,nodejs,ops,500,0.6,0.45627460211634374
64,nodejs,ops,1000,0.6,0.4444774784983728
65,nodejs,ops,1500,0.6,0.4347234773239292
66,nodejs,ops,2,0.7,0.7974953483889762
67,nodejs,ops,5,0.7,0.8197825328556176
68,nodejs,ops,10,0.7,0.8165030169127941
69,nodejs,ops,25,0.7,0.6634283999679531
70,nodejs,ops,50,0.7,0.6123488057718443
71,nodejs,ops,100,0.7,0.543834617401552
72,nodejs,ops,200,0.7,0.4880184174333251
73,nodejs,ops,300,0.7,0.4727743238823656
74,nodejs,ops,500,0.7,0.45463843919320174
75,nodejs,ops,1000,0.7,0.43983062239527393
76,nodejs,ops,1500,0.7,0.4376728523087673
77,nodejs,ops,2,0.8,0.7953475427449428
78,nodejs,ops,5,0.8,0.7771279617114509
79,nodejs,ops,10,0.8,0.6933892374772465
80,nodejs,ops,25,0.8,0.6729408080855142
81,nodejs,ops,50,0.8,0.5874378312706394
82,nodejs,ops,100,0.8,0.5338067988321458
83,nodejs,ops,200,0.8,0.4897176907491886
84,nodejs,ops,300,0.8,0.46914361879479444
85,nodejs,ops,500,0.8,0.4527687972907877
86,nodejs,ops,1000,0.8,0.4424887505020244
87,nodejs,ops,1500,0.8,0.4387499772055299
88,nodejs,ops,2,0.9,0.8284096283003537
89,nodejs,ops,5,0.9,0.8121469009450664
90,nodejs,ops,10,0.9,0.7633012361055247
91,nodejs,ops,25,0.9,0.6958354104505056
92,nodejs,ops,50,0.9,0.5946111197485494
93,nodejs,ops,100,0.9,0.5277607574255898
94,nodejs,ops,200,0.9,0.48624283484447806
95,nodejs,ops,300,0.9,0.46716993034540955
96,nodejs,ops,500,0.9,0.45635379184478947
97,nodejs,ops,1000,0.9,0.43706634919839304
98,nodejs,ops,1500,0.9,0.43769076485577063
99,poppler,size,2,0.1,0.9699807389780721
100,poppler,size,5,0.1,0.8620888845752543
101,poppler,size,10,0.1,0.7914380845570925
102,poppler,size,20,0.1,0.7311774801242568
103,poppler,size,50,0.1,0.6698912381067115
104,poppler,size,100,0.1,0.6078152466237517
105,poppler,size,200,0.1,0.5827865398017109
106,poppler,size,500,0.1,0.5548583452377974
107,poppler,size,800,0.1,0.5502366221623808
108,poppler,size,1000,0.1,0.5470622152477614
109,poppler,size,1300,0.1,0.5493608025717593
110,poppler,time,2,0.1,1.0144315486090907
111,poppler,time,5,0.1,0.9674933341717251
112,poppler,time,10,0.1,0.9295844882962114
113,poppler,time,20,0.1,0.8605648172324891
114,poppler,time,50,0.1,0.7206535744907738
115,poppler,time,100,0.1,0.6706632952956281
116,poppler,time,200,0.1,0.6029422267791005
117,poppler,time,500,0.1,0.5714780664963062
118,poppler,time,800,0.1,0.5589849836957586
119,poppler,time,1000,0.1,0.551017252170648
120,poppler,time,1300,0.1,0.5405434157862755
121,poppler,size,2,0.2,0.8262259650129797
122,poppler,size,5,0.2,0.7803503405489876
123,poppler,size,10,0.2,0.7483074058335164
124,poppler,size,20,0.2,0.6753490513091602
125,poppler,size,50,0.2,0.6017838500511445
126,poppler,size,100,0.2,0.5745714439229302
127,poppler,size,200,0.2,0.5592041352623525
128,poppler,size,500,0.2,0.5438806005076375
129,poppler,size,800,0.2,0.535471618685599
130,poppler,size,1000,0.2,0.5306734575432721
131,poppler,size,1300,0.2,0.5275245244078817
132,poppler,time,2,0.2,0.8163649339683097
133,poppler,time,5,0.2,0.8922939138574932
134,poppler,time,10,0.2,0.7901317224313222
135,poppler,time,20,0.2,0.6722965077915339
136,poppler,time,50,0.2,0.6331831653217914
137,poppler,time,100,0.2,0.5842177512995639
138,poppler,time,200,0.2,0.5603841942964104
139,poppler,time,500,0.2,0.5372181510277032
140,poppler,time,800,0.2,0.5205363907751512
141,poppler,time,1000,0.2,0.5162145368931794
142,poppler,time,1300,0.2,0.510939511579435
143,poppler,size,2,0.3,0.838191513241011
144,poppler,size,5,0.3,0.7595794463626047
145,poppler,size,10,0.3,0.7001228828615049
146,poppler,size,20,0.3,0.6272914191989375
147,poppler,size,50,0.3,0.6047324930747104
148,poppler,size,100,0.3,0.5717444558102354
149,poppler,size,200,0.3,0.5533681825039333
150,poppler,size,500,0.3,0.5329781914234375
151,poppler,size,800,0.3,0.522149107064596
152,poppler,size,1000,0.3,0.5194283057189544
153,poppler,size,1300,0.3,0.5126305371507163
154,poppler,time,2,0.3,0.933618653322329
155,poppler,time,5,0.3,0.7777519607642658
156,poppler,time,10,0.3,0.7407385781901366
157,poppler,time,20,0.3,0.7024600377012242
158,poppler,time,50,0.3,0.5976404213591333
159,poppler,time,100,0.3,0.5755542563916909
160,poppler,time,200,0.3,0.552099245685614
161,poppler,time,500,0.3,0.5235506827459846
162,poppler,time,800,0.3,0.509105910537412
163,poppler,time,1000,0.3,0.5038692635702884
164,poppler,time,1300,0.3,0.5006101046511499
165,poppler,size,2,0.4,0.8338504281263146
166,poppler,size,5,0.4,0.7311921422393424
167,poppler,size,10,0.4,0.7080987375788845
168,poppler,size,20,0.4,0.6309546022236611
169,poppler,size,50,0.4,0.5660298784945059
170,poppler,size,100,0.4,0.5734898077003782
171,poppler,size,200,0.4,0.5517582527961653
172,poppler,size,500,0.4,0.5265909006173245
173,poppler,size,800,0.4,0.5173176910852395
174,poppler,size,1000,0.4,0.5087763988118355
175,poppler,size,1300,0.4,0.5020816049254888
176,poppler,time,2,0.4,0.8182535222527558
177,poppler,time,5,0.4,0.8018191479408405
178,poppler,time,10,0.4,0.7161670587809573
179,poppler,time,20,0.4,0.6752136129798862
180,poppler,time,50,0.4,0.5978622059555809
181,poppler,time,100,0.4,0.5617146213152442
182,poppler,time,200,0.4,0.5377212649219478
183,poppler,time,500,0.4,0.5079673358208281
184,poppler,time,800,0.4,0.49689666292097356
185,poppler,time,1000,0.4,0.4910380131453232
186,poppler,time,1300,0.4,0.4866783606142052
187,poppler,size,2,0.5,0.8520675777658553
188,poppler,size,5,0.5,0.7885245029478007
189,poppler,size,10,0.5,0.6745062710366936
190,poppler,size,20,0.5,0.6158086245837162
191,poppler,size,50,0.5,0.5888526354746653
192,poppler,size,100,0.5,0.5645972548841653
193,poppler,size,200,0.5,0.5521249814542095
194,poppler,size,500,0.5,0.5232778969624544
195,poppler,size,800,0.5,0.5088398221765047
196,poppler,size,1000,0.5,0.5106858367423437
197,poppler,size,1300,0.5,0.4982599589708651
198,poppler,time,2,0.5,0.9785366173561841
199,poppler,time,5,0.5,0.8055152449288597
200,poppler,time,10,0.5,0.6741272163542903
201,poppler,time,20,0.5,0.6079496337774941
202,poppler,time,50,0.5,0.5794914533885772
203,poppler,time,100,0.5,0.5492380184661886
204,poppler,time,200,0.5,0.5358086350954998
205,poppler,time,500,0.5,0.497702752038821
206,poppler,time,800,0.5,0.4895850518458849
207,poppler,time,1000,0.5,0.4817281765784404
208,poppler,time,1300,0.5,0.47607438141068137
209,poppler,size,2,0.6,0.7818098883427756
210,poppler,size,5,0.6,0.8187641225591524
211,poppler,size,10,0.6,0.7308758724325404
212,poppler,size,20,0.6,0.6221792847968894
213,poppler,size,50,0.6,0.569362744597177
214,poppler,size,100,0.6,0.5583857782420505
215,poppler,size,200,0.6,0.5430997440480767
216,poppler,size,500,0.6,0.5227269343805687
217,poppler,size,800,0.6,0.5111821898184963
218,poppler,size,1000,0.6,0.509323703519351
219,poppler,size,1300,0.6,0.4959800761662658
220,poppler,time,2,0.6,0.8168761591733403
221,poppler,time,5,0.6,0.7431782139808571
222,poppler,time,10,0.6,0.6740052706515415
223,poppler,time,20,0.6,0.6167966781903913
224,poppler,time,50,0.6,0.5664937475736088
225,poppler,time,100,0.6,0.5474778363179689
226,poppler,time,200,0.6,0.5299823944851498
227,poppler,time,500,0.6,0.495163415702142
228,poppler,time,800,0.6,0.48339583166674005
229,poppler,time,1000,0.6,0.47984939571552593
230,poppler,time,1300,0.6,0.4750556336995049
231,poppler,size,2,0.7,0.8102239682714938
232,poppler,size,5,0.7,0.7994262209211207
233,poppler,size,10,0.7,0.6789535890973728
234,poppler,size,20,0.7,0.6261747389816914
235,poppler,size,50,0.7,0.5809175455448143
236,poppler,size,100,0.7,0.5633730710221354
237,poppler,size,200,0.7,0.5466106931984486
238,poppler,size,500,0.7,0.522651055056208
239,poppler,size,800,0.7,0.5087982274626449
240,poppler,size,1000,0.7,0.5091333355311123
241,poppler,size,1300,0.7,0.4994238021010774
242,poppler,time,2,0.7,0.8499922053250735
243,poppler,time,5,0.7,0.761156734592851
244,poppler,time,10,0.7,0.7020649316587969
245,poppler,time,20,0.7,0.6029278634270678
246,poppler,time,50,0.7,0.5841658056404329
247,poppler,time,100,0.7,0.5562055885307904
248,poppler,time,200,0.7,0.5274309044105697
249,poppler,time,500,0.7,0.49100206638575616
250,poppler,time,800,0.7,0.48309345168487483
251,poppler,time,1000,0.7,0.4798605695191609
252,poppler,time,1300,0.7,0.46990079572722254
253,poppler,size,2,0.8,0.8884141842049604
254,poppler,size,5,0.8,0.7617982179459815
255,poppler,size,10,0.8,0.7096026426399623
256,poppler,size,20,0.8,0.6187098393288551
257,poppler,size,50,0.8,0.6004961766010787
258,poppler,size,100,0.8,0.57286116096279
259,poppler,size,200,0.8,0.548531010859258
260,poppler,size,500,0.8,0.5239346873688476
261,poppler,size,800,0.8,0.514288475388607
262,poppler,size,1000,0.8,0.5010352349754686
263,poppler,size,1300,0.8,0.4969076001886279
264,poppler,time,2,0.8,0.8473021622930912
265,poppler,time,5,0.8,0.7992783483841908
266,poppler,time,10,0.8,0.6521512549045498
267,poppler,time,20,0.8,0.6143584919215517
268,poppler,time,50,0.8,0.5775020985089424
269,poppler,time,100,0.8,0.5409048042119167
270,poppler,time,200,0.8,0.5168360521250177
271,poppler,time,500,0.8,0.4922752587665928
272,poppler,time,800,0.8,0.4759488069483403
273,poppler,time,1000,0.8,0.47236803612743555
274,poppler,time,1300,0.8,0.47282912790635706
275,poppler,size,2,0.9,0.8318249844526395
276,poppler,size,5,0.9,0.7547754845034635
277,poppler,size,10,0.9,0.7498448926644794
278,poppler,size,20,0.9,0.6052649856687251
279,poppler,size,50,0.9,0.58446213195682
280,poppler,size,100,0.9,0.5740335907412057
281,poppler,size,200,0.9,0.5475669590166179
282,poppler,size,500,0.9,0.522637281476406
283,poppler,size,800,0.9,0.517229437880617
284,poppler,size,1000,0.9,0.5048178635918212
285,poppler,size,1300,0.9,0.49434165807945185
286,poppler,time,2,0.9,0.8958869487167938
287,poppler,time,5,0.9,0.754560114942953
288,poppler,time,10,0.9,0.6520504085468408
289,poppler,time,20,0.9,0.586820337822308
290,poppler,time,50,0.9,0.5768125771323449
291,poppler,time,100,0.9,0.5400719318482452
292,poppler,time,200,0.9,0.522257003819169
293,poppler,time,500,0.9,0.48661959832344026
294,poppler,time,800,0.9,0.4769731744618557
295,poppler,time,1000,0.9,0.4695874241326123
296,poppler,time,1300,0.9,0.47193880421147816
297,xz,time,2,0.1,0.41397428492743016
298,xz,time,5,0.1,0.38651019530871955
299,xz,time,10,0.1,0.36008520575021336
300,xz,time,25,0.1,0.3676181365816107
301,xz,time,30,0.1,0.37794501397753827
302,xz,time,2,0.2,0.33374291294952907
303,xz,time,5,0.2,0.32854368908978027
304,xz,time,10,0.2,0.3785894389027159
305,xz,time,25,0.2,0.38042874774396845
306,xz,time,30,0.2,0.3798218792425373
307,xz,time,2,0.3,0.3147007562606752
308,xz,time,5,0.3,0.4880482025017002
309,xz,time,10,0.3,0.3520045201447092
310,xz,time,25,0.3,0.3400072395569587
311,xz,time,30,0.3,0.3403164344348293
312,xz,time,2,0.4,0.4330181457229808
313,xz,time,5,0.4,0.36050859441372807
314,xz,time,10,0.4,0.35601534598681683
315,xz,time,25,0.4,0.33801331243069577
316,xz,time,30,0.4,0.31906870938483944
317,xz,time,2,0.5,0.34575351089020273
318,xz,time,5,0.5,0.36245088604545816
319,xz,time,10,0.5,0.3453159458164399
320,xz,time,25,0.5,0.3193770180983422
321,xz,time,30,0.5,0.3187792706008319
322,xz,time,2,0.6,0.31451969868752283
323,xz,time,5,0.6,0.3563860571089863
324,xz,time,10,0.6,0.34108147517784415
325,xz,time,25,0.6,0.3340849347368665
326,xz,time,30,0.6,0.3261931535600577
327,xz,time,2,0.7,0.3400931331301441
328,xz,time,5,0.7,0.3845574549181321
329,xz,time,10,0.7,0.3333672045461189
330,xz,time,25,0.7,0.3196184543668026
331,xz,time,30,0.7,0.3038184339083408
332,xz,time,2,0.8,0.33648054914506703
333,xz,time,5,0.8,0.35025119913685
