,soft,perf,nb_inputs,is_tech,mae
42,poppler,size,5,submodular,0.922788426828461
43,poppler,size,5,hdbscan,0.6946009699258205
44,poppler,size,10,random,0.5904851767307242
45,poppler,size,10,kmeans,0.8473399487391917
46,poppler,size,10,submodular,0.8908182502799902
47,poppler,size,10,hdbscan,0.7927779415481135
48,poppler,size,20,random,0.5653794242513703
49,poppler,size,20,kmeans,0.6831242127831036
50,poppler,size,20,submodular,0.967070633077906
51,poppler,size,20,hdbscan,0.7027204779631762
52,poppler,size,50,random,0.6293038349540809
53,poppler,size,50,kmeans,0.6329013300756547
54,poppler,size,50,submodular,0.9092339711417493
55,poppler,size,50,hdbscan,0.58041247616688
56,poppler,size,100,random,0.5978490460150845
57,poppler,size,100,kmeans,0.5503670128629259
58,poppler,size,100,submodular,0.6580651862228697
59,poppler,size,100,hdbscan,0.557820532926551
60,poppler,size,200,random,0.5627684819183731
61,poppler,size,200,kmeans,0.5466753194851206
62,poppler,size,200,submodular,0.580120485664545
63,poppler,size,200,hdbscan,0.5435450467979716
64,poppler,size,500,random,0.5346743191439077
65,poppler,size,500,kmeans,0.5449242657255933
66,poppler,size,500,submodular,0.566275625535462
67,poppler,size,500,hdbscan,0.5639052886870728
68,poppler,size,800,random,0.5214359232425801
69,poppler,size,800,kmeans,0.5568995595812182
70,poppler,size,800,submodular,0.5328646932946781
71,poppler,size,800,hdbscan,0.5914939585859595
72,poppler,size,1000,random,0.5021155846349721
73,poppler,size,1000,kmeans,0.526769490173384
74,poppler,size,1000,submodular,0.5333401018232719
75,poppler,size,1000,hdbscan,0.6143792130427742
76,poppler,size,1300,random,0.48589348425554035
77,poppler,size,1300,kmeans,0.5279975592435074
78,poppler,size,1300,submodular,0.5337155770517434
79,poppler,size,1300,hdbscan,0.5770368185954953
80,poppler,time,5,random,0.7842103505660496
81,poppler,time,5,kmeans,0.8037939636674194
82,poppler,time,5,submodular,0.7626247996207619
83,poppler,time,5,hdbscan,0.9033376346680893
84,poppler,time,10,random,0.5752914475268665
85,poppler,time,10,kmeans,1.0702953447047536
86,poppler,time,10,submodular,0.8412411090887835
