,proportion_train_config,prop_inputs_source,id repetition,mape,training_time
0,0.1,0.1,0,25.765498247109708,0.1277618408203125
1,0.1,0.1,1,42.041075861203154,0.12491512298583984
2,0.1,0.1,2,56.34613366564248,0.12384891510009766
3,0.1,0.1,3,55.356379921564915,0.12365889549255371
4,0.1,0.1,4,80.61376919286823,0.12343096733093262
5,0.1,0.1,5,38.310892108143854,0.12222790718078613
6,0.1,0.1,6,32.98291451594197,0.12430977821350098
7,0.1,0.1,7,14.64258961045563,0.1207273006439209
8,0.1,0.1,8,35.12385485649981,0.12031817436218262
9,0.1,0.1,9,126.89231796614868,0.12061953544616699
10,0.1,0.2,0,77.2013806199098,0.15358805656433105
11,0.1,0.2,1,38.95347387688783,0.15319228172302246
12,0.1,0.2,2,21.914079958185802,0.15177440643310547
13,0.1,0.2,3,43.03197653635109,0.15269112586975098
14,0.1,0.2,4,13.968732662852798,0.15235233306884766
15,0.1,0.2,5,67.61975182836412,0.15500926971435547
16,0.1,0.2,6,52.8898453722213,0.1499316692352295
17,0.1,0.2,7,33.98000237660032,0.15198016166687012
18,0.1,0.2,8,62.995287137309454,0.15267300605773926
19,0.1,0.2,9,52.911917617727,0.14859843254089355
20,0.1,0.30000000000000004,0,44.47416749476939,0.181365966796875
21,0.1,0.30000000000000004,1,59.93168609787273,0.1804499626159668
22,0.1,0.30000000000000004,2,25.05831718514206,0.18312597274780273
23,0.1,0.30000000000000004,3,84.17312680940306,0.18111634254455566
24,0.1,0.30000000000000004,4,65.57813312740338,0.18000531196594238
25,0.1,0.30000000000000004,5,71.65624026215045,0.18057727813720703
26,0.1,0.30000000000000004,6,54.295527626480876,0.17992568016052246
27,0.1,0.30000000000000004,7,19.81920362874917,0.18181586265563965
28,0.1,0.30000000000000004,8,30.57822385973904,0.17952680587768555
29,0.1,0.30000000000000004,9,54.771824926350654,0.1813490390777588
30,0.1,0.4,0,67.43948692375089,0.21214079856872559
31,0.1,0.4,1,17.55094519481544,0.21272516250610352
32,0.1,0.4,2,28.311848039166364,0.21402716636657715
33,0.1,0.4,3,40.76057767359333,0.21333789825439453
34,0.1,0.4,4,40.88723495039557,0.2126476764678955
35,0.1,0.4,5,43.01064885090778,0.21247529983520508
36,0.1,0.4,6,31.935858919854383,0.2142505645751953
37,0.1,0.4,7,30.295530001918724,0.21309423446655273
38,0.1,0.4,8,61.39088072240412,0.2142176628112793
39,0.1,0.4,9,72.67583628974354,0.2122817039489746
40,0.1,0.5,0,27.783014537194134,0.2508256435394287
41,0.1,0.5,1,31.795452349227006,0.24862456321716309
42,0.1,0.5,2,39.84329808795998,0.2482619285583496
43,0.1,0.5,3,44.719591504519734,0.2480149269104004
44,0.1,0.5,4,45.90572383709081,0.24809789657592773
45,0.1,0.5,5,54.82885813021415,0.2475724220275879
46,0.1,0.5,6,64.80254828839264,0.24790525436401367
47,0.1,0.5,7,22.24693832798926,0.24768543243408203
48,0.1,0.5,8,48.55914607162383,0.2509772777557373
49,0.1,0.5,9,34.06701113672764,0.2468700408935547
50,0.1,0.6000000000000001,0,62.497580670589834,0.2814292907714844
51,0.1,0.6000000000000001,1,82.24367216312045,0.28038740158081055
52,0.1,0.6000000000000001,2,51.68220076425042,0.2817351818084717
53,0.1,0.6000000000000001,3,52.153531976455334,0.28164029121398926
