,proportion_train_config,prop_inputs_source,id repetition,mape,training_time
0,0.1,0.1,0,217.04615449901166,0.19589495658874512
1,0.1,0.1,1,127.19377823409026,0.17912793159484863
2,0.1,0.1,2,106.64316967678056,0.15303635597229004
3,0.1,0.1,3,116.21080577737774,0.15790987014770508
4,0.1,0.1,4,123.03669143660645,0.16074800491333008
5,0.1,0.1,5,214.60587218231657,0.15624046325683594
6,0.1,0.1,6,97.0892668637846,0.12293624877929688
7,0.1,0.1,7,225.76395757139832,0.12407350540161133
8,0.1,0.1,8,120.58896108533861,0.12505459785461426
9,0.1,0.1,9,106.0136594936167,0.12303948402404785
10,0.1,0.2,0,115.37674451851763,0.16183853149414062
11,0.1,0.2,1,148.13265482150345,0.1561906337738037
12,0.1,0.2,2,227.0419637759226,0.16207027435302734
13,0.1,0.2,3,73.43515705213312,0.1603376865386963
14,0.1,0.2,4,202.20910903065837,0.1543891429901123
15,0.1,0.2,5,57.161262009999845,0.166595458984375
16,0.1,0.2,6,125.31065293951488,0.17871570587158203
17,0.1,0.2,7,213.43701296812475,0.18912792205810547
18,0.1,0.2,8,120.0489500107162,0.27945828437805176
19,0.1,0.2,9,121.48302961250647,0.22344613075256348
20,0.1,0.30000000000000004,0,113.38833073442942,0.20578861236572266
21,0.1,0.30000000000000004,1,123.14186430878786,0.1849374771118164
22,0.1,0.30000000000000004,2,202.51961529955196,0.2017214298248291
23,0.1,0.30000000000000004,3,121.46668340187112,0.24389910697937012
24,0.1,0.30000000000000004,4,196.8088508108941,0.19084978103637695
25,0.1,0.30000000000000004,5,185.03410588924166,0.18199753761291504
26,0.1,0.30000000000000004,6,128.04478922356387,0.17961812019348145
27,0.1,0.30000000000000004,7,77.83361650967069,0.17897796630859375
28,0.1,0.30000000000000004,8,125.65214926969284,0.17969226837158203
29,0.1,0.30000000000000004,9,227.96680480758198,0.17799091339111328
30,0.1,0.4,0,133.9472937806315,0.2127523422241211
31,0.1,0.4,1,216.05441992715697,0.21500062942504883
32,0.1,0.4,2,112.20869344354487,0.2193317413330078
33,0.1,0.4,3,256.8712527494681,0.2131357192993164
34,0.1,0.4,4,87.03669167374169,0.21311163902282715
35,0.1,0.4,5,269.2305882172691,0.21097230911254883
36,0.1,0.4,6,125.51727196642484,0.21217560768127441
37,0.1,0.4,7,127.75343460481427,0.21195387840270996
38,0.1,0.4,8,133.50569037276898,0.21141624450683594
39,0.1,0.4,9,116.72314116438478,0.21151256561279297
40,0.1,0.5,0,221.60003316426975,0.24731945991516113
41,0.1,0.5,1,230.0367504822824,0.2623329162597656
42,0.1,0.5,2,67.51378555791715,0.27124476432800293
43,0.1,0.5,3,137.60425521343873,0.2743687629699707
44,0.1,0.5,4,114.15569201607903,0.259554386138916
45,0.1,0.5,5,146.3478285734194,0.26781535148620605
46,0.1,0.5,6,126.2697669616615,0.3493998050689697
47,0.1,0.5,7,177.36784657843398,0.37074756622314453
48,0.1,0.5,8,110.15179981045942,0.32648134231567383
49,0.1,0.5,9,117.56123878961458,0.4272007942199707
50,0.1,0.6000000000000001,0,139.74043815413765,0.45558953285217285
51,0.1,0.6000000000000001,1,117.78458763298656,0.3298795223236084
52,0.1,0.6000000000000001,2,122.74738008957864,0.3262319564819336
53,0.1,0.6000000000000001,3,124.81822963942501,0.32973432540893555
54,0.1,0.6000000000000001,4,43.909694961645656,0.294450044631958
55,0.1,0.6000000000000001,5,148.55722782359817,0.2821540832519531
56,0.1,0.6000000000000001,6,64.07816271323267,0.2947714328765869
57,0.1,0.6000000000000001,7,108.81924388008608,0.2920713424682617
58,0.1,0.6000000000000001,8,133.39750826642444,0.2967205047607422
59,0.1,0.6000000000000001,9,116.46693086778424,0.2835097312927246
60,0.1,0.7000000000000001,0,210.91424140396748,0.3147468566894531
61,0.1,0.7000000000000001,1,128.27402359165728,0.3360724449157715
62,0.1,0.7000000000000001,2,84.88797596351863,0.3213369846343994
63,0.1,0.7000000000000001,3,47.879121562600886,0.31248998641967773
64,0.1,0.7000000000000001,4,209.83512996737957,0.3139781951904297
65,0.1,0.7000000000000001,5,209.66931549009428,0.31064796447753906
66,0.1,0.7000000000000001,6,194.83967850107047,0.3120460510253906
67,0.1,0.7000000000000001,7,124.02520912068589,0.32349467277526855
68,0.1,0.7000000000000001,8,123.04242462490129,0.3140840530395508
69,0.1,0.7000000000000001,9,159.90425937732755,0.319197416305542
70,0.1,0.8,0,223.17954965149758,0.3559572696685791
71,0.1,0.8,1,144.12501940349304,0.3577744960784912
72,0.1,0.8,2,132.4889756431733,0.34822630882263184
73,0.1,0.8,3,126.44959733800593,0.35788798332214355
74,0.1,0.8,4,128.14272430861482,0.3504960536956787
75,0.1,0.8,5,252.29517132730845,0.3541436195373535
76,0.1,0.8,6,145.25511647996169,0.35760974884033203
77,0.1,0.8,7,114.57094444166383,0.35367822647094727
78,0.1,0.8,8,57.8904467213152,0.35323286056518555
79,0.1,0.8,9,182.27655810412554,0.35789966583251953
80,0.1,0.9,0,121.59967003720844,0.3881959915161133
81,0.1,0.9,1,138.99405749799368,0.3911628723144531
82,0.1,0.9,2,154.93023308065548,0.39665889739990234
83,0.1,0.9,3,198.3330696928872,0.39532899856567383
84,0.1,0.9,4,188.20123618479997,0.3907604217529297
85,0.1,0.9,5,132.4015079091111,0.39400410652160645
86,0.1,0.9,6,131.92754278178117,0.3964192867279053
87,0.1,0.9,7,130.8347292009443,0.3989713191986084
88,0.1,0.9,8,120.62667996630545,0.39632225036621094
